id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,FC BAYERN MÜNCHEN,71,34,21,8,5,92,38,54
2,BORUSSIA DORTMUND,71,34,22,5,7,83,44,39
3,RB LEIPZIG,66,34,20,6,8,64,41,23
4,1. FC UNION BERLIN,62,34,18,8,8,51,38,13
5,SPORT-CLUB FREIBURG,59,34,17,8,9,51,44,7
6,BAYER 04 LEVERKUSEN,50,34,14,8,12,57,49,8
7,EINTRACHT FRANKFURT,50,34,13,11,10,58,52,6
8,VFL WOLFSBURG,49,34,13,10,11,57,48,9
9,1. FSV MAINZ 05,46,34,12,10,12,54,55,-1
10,BORUSSIA MÖNCHENGLADBACH,43,34,11,10,13,52,55,-3
11,1. FC KÖLN,42,34,10,12,12,49,54,-5
12,TSG HOFFENHEIM,36,34,10,6,18,48,57,-9
13,SV WERDER BREMEN,36,34,10,6,18,51,64,-13
14,VFL BOCHUM 1848,35,34,10,5,19,40,72,-32
15,FC AUGSBURG,34,34,9,7,18,42,63,-21
16,VFB STUTTGART,33,34,7,12,15,45,57,-12
17,FC SCHALKE 04,31,34,7,10,17,35,71,-36
18,HERTHA BSC,29,34,7,8,19,42,69,-27
