id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,PARIS SAINT-GERMAIN,91,38,29,4,5,105,35,70
2,LOSC LILLE,75,38,22,9,7,68,33,35
3,OLYMPIQUE LYONNAIS,72,38,21,9,8,70,47,23
4,AS SAINT-ÉTIENNE,66,38,19,9,10,59,41,18
5,OLYMPIQUE DE MARSEILLE,61,38,18,7,13,60,52,8
6,MONTPELLIER HÉRAULT SC,59,38,15,14,9,53,42,11
7,OGC NICE,56,38,15,11,12,30,35,-5
8,STADE DE REIMS,55,38,13,16,9,39,42,-3
9,NÎMES OLYMPIQUE,53,38,15,8,15,57,58,-1
10,STADE RENNAIS FC,52,38,13,13,12,55,52,3
11,RC STRASBOURG ALSACE,49,38,11,16,11,58,48,10
12,FC NANTES,48,38,13,9,16,48,48,0
13,ANGERS SCO,46,38,10,16,12,44,49,-5
14,FC GIRONDINS DE BORDEAUX,41,38,10,11,17,34,42,-8
15,AMIENS SC,38,38,9,11,18,31,52,-21
16,TOULOUSE FC,38,38,8,14,16,35,57,-22
17,AS MONACO,36,38,8,12,18,38,57,-19
18,DIJON FCO,34,38,9,7,22,31,60,-29
19,STADE MALHERBE CAEN,33,38,7,12,19,29,54,-25
20,EN AVANT GUINGAMP,27,38,5,12,21,28,68,-40
