id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,MANCHESTER CITY,93,38,29,6,3,99,26,73
2,LIVERPOOL,92,38,28,8,2,94,26,68
3,CHELSEA,74,38,21,11,6,76,33,43
4,TOTTENHAM HOTSPUR,71,38,22,5,11,69,40,29
5,ARSENAL,69,38,22,3,13,61,48,13
6,MANCHESTER UNITED,58,38,16,10,12,57,57,0
7,WEST HAM UNITED,56,38,16,8,14,60,51,9
8,LEICESTER CITY,52,38,14,10,14,62,59,3
9,BRIGHTON & HOVE ALBION,51,38,12,15,11,42,44,-2
10,WOLVERHAMPTON WANDERERS,51,38,15,6,17,38,43,-5
11,NEWCASTLE UNITED,49,38,13,10,15,44,62,-18
12,CRYSTAL PALACE,48,38,11,15,12,50,46,4
13,BRENTFORD,46,38,13,7,18,48,56,-8
14,ASTON VILLA,45,38,13,6,19,52,54,-2
15,SOUTHAMPTON,40,38,9,13,16,43,67,-24
16,EVERTON,39,38,11,6,21,43,66,-23
17,LEEDS UNITED,38,38,9,11,18,42,79,-37
18,BURNLEY,35,38,7,14,17,34,53,-19
19,WATFORD,23,38,6,5,27,34,77,-43
20,NORWICH CITY,22,38,5,7,26,23,84,-61
