id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,NAPOLI,90,38,28,6,4,77,28,49
2,LAZIO,74,38,22,8,8,60,30,30
3,INTER,72,38,23,3,12,71,42,29
4,MILAN,70,38,20,10,8,64,43,21
5,ATALANTA,64,38,19,7,12,66,48,18
6,ROMA,63,38,18,9,11,50,38,12
7,JUVENTUS,62,38,22,6,10,56,33,23
8,FIORENTINA,56,38,15,11,12,53,43,10
9,BOLOGNA,54,38,14,12,12,53,49,4
10,TORINO,53,38,14,11,13,42,41,1
11,MONZA,52,38,14,10,14,48,52,-4
12,UDINESE,46,38,11,13,14,47,48,-1
13,SASSUOLO,45,38,12,9,17,47,61,-14
14,EMPOLI,43,38,10,13,15,37,49,-12
15,SALERNITANA,42,38,9,15,14,48,62,-14
16,LECCE,36,38,8,12,18,33,46,-13
17,HELLAS VERONA,31,38,7,10,21,31,59,-28
18,SPEZIA,31,38,6,13,19,31,62,-31
19,CREMONESE,27,38,5,12,21,36,69,-33
20,SAMPDORIA,19,38,3,10,25,24,71,-47
