team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff,win_percentage,loss_percentage,goals_per_game,goals_against_per_game,league
FC BAYERN MÜNCHEN,71.0,34.0,21.0,8.0,5.0,92.0,38.0,54.0,0.617647,0.147059,2.705882,1.117647,bundesliga
BORUSSIA DORTMUND,71.0,34.0,22.0,5.0,7.0,83.0,44.0,39.0,0.647059,0.205882,2.441176,1.294118,bundesliga
RB LEIPZIG,66.0,34.0,20.0,6.0,8.0,64.0,41.0,23.0,0.588235,0.235294,1.882353,1.205882,bundesliga
1. FC UNION BERLIN,62.0,34.0,18.0,8.0,8.0,51.0,38.0,13.0,0.529412,0.235294,1.5,1.117647,bundesliga
SPORT-CLUB FREIBURG,59.0,34.0,17.0,8.0,9.0,51.0,44.0,7.0,0.5,0.264706,1.5,1.294118,bundesliga
BAYER 04 LEVERKUSEN,50.0,34.0,14.0,8.0,12.0,57.0,49.0,8.0,0.411765,0.352941,1.676471,1.441176,bundesliga
EINTRACHT FRANKFURT,50.0,34.0,13.0,11.0,10.0,58.0,52.0,6.0,0.382353,0.294118,1.705882,1.529412,bundesliga
VFL WOLFSBURG,49.0,34.0,13.0,10.0,11.0,57.0,48.0,9.0,0.382353,0.323529,1.676471,1.411765,bundesliga
1. FSV MAINZ 05,46.0,34.0,12.0,10.0,12.0,54.0,55.0,-1.0,0.352941,0.352941,1.588235,1.617647,bundesliga
BORUSSIA MÖNCHENGLADBACH,43.0,34.0,11.0,10.0,13.0,52.0,55.0,-3.0,0.323529,0.382353,1.529412,1.617647,bundesliga
1. FC KÖLN,42.0,34.0,10.0,12.0,12.0,49.0,54.0,-5.0,0.294118,0.352941,1.441176,1.588235,bundesliga
TSG HOFFENHEIM,36.0,34.0,10.0,6.0,18.0,48.0,57.0,-9.0,0.294118,0.529412,1.411765,1.676471,bundesliga
SV WERDER BREMEN,36.0,34.0,10.0,6.0,18.0,51.0,64.0,-13.0,0.294118,0.529412,1.5,1.882353,bundesliga
VFL BOCHUM 1848,35.0,34.0,10.0,5.0,19.0,40.0,72.0,-32.0,0.294118,0.558824,1.176471,2.117647,bundesliga
FC AUGSBURG,34.0,34.0,9.0,7.0,18.0,42.0,63.0,-21.0,0.264706,0.529412,1.235294,1.852941,bundesliga
VFB STUTTGART,33.0,34.0,7.0,12.0,15.0,45.0,57.0,-12.0,0.205882,0.441176,1.323529,1.676471,bundesliga
FC SCHALKE 04,31.0,34.0,7.0,10.0,17.0,35.0,71.0,-36.0,0.205882,0.5,1.029412,2.088235,bundesliga
HERTHA BSC,29.0,34.0,7.0,8.0,19.0,42.0,69.0,-27.0,0.205882,0.558824,1.235294,2.029412,bundesliga
FC BAYERN MÜNCHEN,77.0,34.0,24.0,5.0,5.0,97.0,37.0,60.0,0.705882,0.147059,2.852941,1.088235,bundesliga
BORUSSIA DORTMUND,69.0,34.0,22.0,3.0,9.0,85.0,52.0,33.0,0.647059,0.264706,2.5,1.529412,bundesliga
BAYER 04 LEVERKUSEN,64.0,34.0,19.0,7.0,8.0,80.0,47.0,33.0,0.558824,0.235294,2.352941,1.382353,bundesliga
RB LEIPZIG,58.0,34.0,17.0,7.0,10.0,72.0,37.0,35.0,0.5,0.294118,2.117647,1.088235,bundesliga
1. FC UNION BERLIN,57.0,34.0,16.0,9.0,9.0,50.0,44.0,6.0,0.470588,0.264706,1.470588,1.294118,bundesliga
SC FREIBURG,55.0,34.0,15.0,10.0,9.0,58.0,46.0,12.0,0.441176,0.264706,1.705882,1.352941,bundesliga
1. FC KÖLN,52.0,34.0,14.0,10.0,10.0,52.0,49.0,3.0,0.411765,0.294118,1.529412,1.441176,bundesliga
1. FSV MAINZ 05,46.0,34.0,13.0,7.0,14.0,50.0,45.0,5.0,0.382353,0.411765,1.470588,1.323529,bundesliga
TSG HOFFENHEIM,46.0,34.0,13.0,7.0,14.0,58.0,60.0,-2.0,0.382353,0.411765,1.705882,1.764706,bundesliga
BORUSSIA M'GLADBACH,45.0,34.0,12.0,9.0,13.0,54.0,61.0,-7.0,0.352941,0.382353,1.588235,1.794118,bundesliga
EINTRACHT FRANKFURT,42.0,34.0,10.0,12.0,12.0,45.0,49.0,-4.0,0.294118,0.352941,1.323529,1.441176,bundesliga
VFL WOLFSBURG,42.0,34.0,12.0,6.0,16.0,43.0,54.0,-11.0,0.352941,0.470588,1.264706,1.588235,bundesliga
VFL BOCHUM 1848,42.0,34.0,12.0,6.0,16.0,38.0,52.0,-14.0,0.352941,0.470588,1.117647,1.529412,bundesliga
FC AUGSBURG,38.0,34.0,10.0,8.0,16.0,39.0,56.0,-17.0,0.294118,0.470588,1.147059,1.647059,bundesliga
VFB STUTTGART,33.0,34.0,7.0,12.0,15.0,41.0,59.0,-18.0,0.205882,0.441176,1.205882,1.735294,bundesliga
HERTHA BSC,33.0,34.0,9.0,6.0,19.0,37.0,71.0,-34.0,0.264706,0.558824,1.088235,2.088235,bundesliga
DSC ARMINIA BIELEFELD,28.0,34.0,5.0,13.0,16.0,27.0,53.0,-26.0,0.147059,0.470588,0.794118,1.558824,bundesliga
SPVGG GREUTHER FÜRTH,18.0,34.0,3.0,9.0,22.0,28.0,82.0,-54.0,0.088235,0.647059,0.823529,2.411765,bundesliga
FC BAYERN MÜNCHEN,78.0,34.0,24.0,6.0,4.0,99.0,44.0,55.0,0.705882,0.117647,2.911765,1.294118,bundesliga
